tweet_no	q1_label	q2_label	q3_label	q4_label	q5_label	q6_label	q7_label	tweet_text
53	no					no	no	🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴 🔴 Resisting the new corona epidemic is a joint societal responsibility that begins with the official and ends with the citizen and the resident, there is no value for any action or benefit if it is not met with serious application by the brothers, citizens and residents alike. 🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴
54	no					no	no	In crises, the truth about societies emerges.. #COVIDー19 #Covid_19 #Corona #coronavirus URL
55	no					no	no	Corona virus is a health virus.. and an economic virus..and a political virus as well..and we say to all countries of the world..this is the time for unity,cooperation and solidarity to fight the most important enemy of mankind..All differences are getting smaller in front of this new challenge..and the world can overcome it faster if The strong stand with the weak and the rich stand with the poor. URL
56	no					no	no	Don&#39;t take them off the look #Stay_at_home 🏡 #Technology_Goes_Home 📱 #Coronavirus URL
57	yes	no	yes	no	no	no	no	The Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new #coronavirus, starting from 7 pm until 6 am for a period of (21) days from the evening of Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020 AD. URL #was_general URL
58	yes	no	yes	no	no	no	no	Thus, the total number of new Corona virus cases in the Kingdom becomes (392), (8) additional cases have recovered, bringing the total recovered cases to (16) cases, praise be to God, and the remaining cases are isolated and receive the necessary medical care.
59	yes	no	yes	no	no	no	no	Based on the order of the Custodian of the Two Holy Mosques - may God protect him - to impose a curfew to limit the spread of the new Corona virus for a period of 21 days, the Ministry would like to clarify the exceptions related to the curfew. URL
60	no					no	no	Our commitment to the instructions is our way, with God&#39;s help, to protect our country and our people from the Corona epidemic.
61	no					no	no	The #coronavirus exposed false ideals. This clip embodies all the meanings of racism and discrimination. We dedicate it to those organizations that have cracked our heads by defending human rights. They are now 🙈 🙉 🙊 (Praise be to God for the blessing of #Saudi Arabia) URL
62	no					no	no	A message to those who don&#39;t care about health instructions related to the Corona virus URL
63	yes	no		yes	yes	yes	yes	The Italian army transports the bodies of Corona victims without saying goodbye URL
64	yes	no	yes	yes	no	no	no	Urgent.. . The Ministry of Health: reduce contact and contact even inside your homes..do not lose your loved ones. . #Corona #Saudi Arabia #Kingdom #Health
65	no					no	no	Oh God, heal them and lift them up and heal the injured in Turkey and everywhere.. I do not need to say that more than 70 out of 119 are Turks who were treated as we deal with the Saudis with all care and care.. At the same time it is necessary to say and apologize for the ease of expression.. You are a despicable agency. and vile
66	yes	no	yes	no	no	no	no	Video 🔴. . With words from a sincere heart... he witnessed a security man giving parental advice to a group of young men who went on a road trip, ignoring repeated warnings. . . Corona Virus . URL
67	yes	no	yes	no	no	no	no	4 cases of people infected with the emerging coronavirus have recovered, bringing the number of people recovered to 43. May God protect everyone from all evil
68	no					no	no	Corona when he sees what is happening in Alexandria URL
69	yes	no	yes	no	no	no	no	Exclusive translator | This is the message of the Spanish medical staff to all the world...Stay in your homes!! #Corona #COVID19 URL
70	no					no	no	After the decision to #curfew due to #Corona, the Saudis: “Hear and obey, sir.”... Ministry of Interior #stayhome #curfew #curfew URL
71	no					no	no	#Corona will come to me and become part of history, but the most important thing is to teach your children that Saudi Arabia has sold everything and bought us #curfew_in_Saudi
72	yes	no	yes	no	no	no	no	Urgent 🔴. . The Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new #coronavirus, starting from 7 pm until 6 am for a period of (21) days from the evening of Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020 AD.
73	yes	no	yes	no	no	no	no	#Urgent Health Spokesperson: 48 new cases of coronavirus were recorded, and the total number of cases reached 392. #was_am
74	yes	no	yes	no	yes	no	yes	A genius Canadian anesthesiologist ... makes modifications to the ventilator so that it makes 9 respirators and accommodates 9 patients ... which doubles the hospital&#39;s capabilities to receive cases of the #corona virus to 9 times. URL
75	yes	no	yes	no	no	no	no	Urgent.. . Ministry of Health: 119 new cases of coronavirus were recorded. . #Saudi Arabia #Corona
76	no					no	no	Corona may infect you and you do not know.. So we say #StayHome and protect yourself from infection. #we are all_responsible URL
77	no					no	no	Vote .. Do you support imposing a curfew to prevent the spread of the Corona virus? Yes: retweet No: favorite
78	yes	no	yes	no	yes	no	no	Important: The difference between the original medical mask and others and the way to wear it correctly #Corona URL
79	yes	no	yes	no	no	no	no	Urgent: Now... the curfew has ended on its first day, with the full commitment and cooperation of the citizen and the resident. . #Saudi Arabia #Corona
80	no					no	no	In hearing and obedience, we trust in God and then in you.. to overcome the crisis of #Corona URL
81	yes	no	yes	no	yes	no	no	Education spokeswoman: The end of the school year exams are on time in the blessed month of Ramadan. (Yahla) #Education #exams #Corona
82	yes	yes	yes	no	yes	yes	no	I follow closely and around the clock the state&#39;s precautionary measures to confront the spread of the Corona virus... And as I promised you yesterday, we are continuing our procedures with precision in combating this epidemic in order to preserve the health and life of every Egyptian citizen.1/2
83	yes	no		yes	no	yes	no	Imagine all of these people died, all of these people had their lives and people who loved them and their memories and their life was perfect in a second and because of their recklessness they died.
84	no					no	no	From inside a quarantine hotel in Riyadh, the star #Abdullah_Atif and many details he passes with his usual skill #home_quarantine #coronavirus #stay_at_home URL
85	yes	no	yes	no	no	no	no	The Custodian of the Two Holy Mosques issues a curfew order to limit the spread of the new #coronavirus, starting from 7 pm until 6 am for a period of (21) days from the evening of Monday, Rajab 28, 1441 AH, corresponding to March 23, 2020 AD. URL #was_general URL
86	no					no	no	Shouldn&#39;t this short clip enter every device, so that every ear could hear it, and every heart would understand it.. #Coronavirus URL
87	yes		yes		yes	yes	yes	Urgent 🔴. . In promising and reassuring news for the world’s population, Austria announces the success of two drug trials that reduce infection and symptoms of the Corona virus by 90%. . . Austria
88	no					no	no	The third question from the competition #Care_Vs_Corona1 Your participation in the competition is evidence of your cultural awareness.. Our goal is to promote health awareness about the Corona epidemic [1000 riyals], you may have a lottery 💵 URL… Answer the question attached below 👇🏻 URL
89	no					no	no	History will remember the leaders’ statements during the Corona virus crisis.. King Salman’s words instilled confidence and calmness in his people.. when he said: “We will do our best to preserve human health and safety.” While the British Prime Minister raised terror and fear in the hearts of his people... when he said: &quot;Get ready for the separation of your loved ones.&quot; URL
90	no					no	no	I greeted one, and then I quickly stretched out my hands due to the Corona virus: URL
91	yes	yes		yes	yes	yes	yes	Animals invade cities after implementing curfew measures to prevent corona virus around the world, photos from Italy, Japan and Sardinia .. URL
92	no					no	no	Daily report on the new #coronavirus locally and globally. URL
93	no					no	no	Your rebellious agent is the #pandemic in my country, it is more dangerous to our people than #Corona USERID URL
94	yes	no	yes	no	yes	no	no	In the city of Konya in Turkey, foodstuffs are placed on the street, and the needy can take what he wants without anyone seeing or chasing him. Photography is a good practice that does not embarrass the poor or needy and hides the rich and raises the value of solidarity in societies. This is a time for solidarity, not selfishness #coronavirus URL
95	no					no	no	The second question from #Corona_Care_Vs_Contest Your participation in the competition is evidence of your cultural awareness.. Our goal is to promote health awareness about the Corona epidemic [1000 riyals], you may have a share of it 💵 URL… Answer the question attached below 👇🏻 URL
96	yes	no	yes	no	no	no	no	The Ministry of Health announces the registration of 70 new cases of the emerging corona virus, and calls on everyone to adhere to the instructions and directives; For their own safety and the safety of the community. #was_general URL
97	yes	yes	yes	yes	yes	yes	yes	China hid #Corona from the world for weeks, arrested and reprimanded the doctor who warned of the virus, and now it is sending its experts to convey the experience of eliminating it? It has a reputation as the source of the epidemic, and it is better to expose the world from the beginning than to send experts to reduce the number of dead. China does not fix what was spoiled by “Corona”!
98	no					no	no	#All_at_home_for_Saudi_Arabia The instructions of the Ministry of Health represented by our rational government must be followed, as the issue has become a great danger to our society, the new Corona is a global epidemic, but with the solidarity of the sons and daughters of our dear country, we can, by God&#39;s help, eliminate it, so do not tolerate the issue at all 🇸🇦
99	yes	no	yes	no	no	no	no	The speech of my master, the Custodian of the Two Holy Mosques, confirms the leadership&#39;s keenness - may God protect him - to harness everything that achieves the elevation of the homeland and the safety of the citizen and the resident, and we are doing our best in the Ministry of Education to integrate with all the great national efforts to address the Corona virus through universities and education departments. May God protect the homeland and its leadership and perpetuate its glory. URL
100	yes	yes		yes	yes	no	no	The Emir of Qatar asks the United States and other countries to fulfill their promises to pressure Saudi Arabia to end the boycott and find a solution to the crisis in return for Doha’s embrace of the reconciliation agreement between the Taliban and America. Comment: The whole world is busy with how to eliminate Corona, and the Doha media is busy with Saudi Arabia! We ask Allah for good health and safety
101	no					no	no	Sensing my patriotic duty.. I share with you these awareness phrases from my thoughts and implementation.. I ask God to protect our country and all Muslim countries from all harm and to remove this epidemic from us. He is over all things. #We are all responsible #Coronavirus URL
102	no					no	no	In light of the timely follow-up of the measures to combat the spread of the Corona virus, the government and the competent executive bodies have been tasked with taking the necessary measures towards developing the precautionary measures followed at the state and citizen levels by taking a package of additional measures that contribute to achieving the highest safety rates 1/2
103	no					no	no	Those who call themselves the “Saudi opposition” in London are pathetic. Their incitement and electronic alliances failed over the past decades, so they turned to allying with #Corona with rumors and wishes against their country. Epidemics and viruses allied with each other.
104	no					no	no	Qatar is facing the Corona epidemic with strength and determination, and by mobilizing everyone&#39;s efforts to protect our society and country. Our health system is on the front line of this confrontation, and our medical cadres perform their noble mission with courage and achieve success that can only be completed by you. Let us help them to adhere to the preventive instructions, especially for the necessity of homes in the current period.
105	yes	yes	yes	yes	yes	yes	yes	The godfather of the coup, treachery and disobedience in Qatar began tweeting with #Corona, then inserted September 11th, then turned to the Arab countries, then to the Gulf countries, then concluded that Qatar is a country of steadfastness, even if the boycott lasted for 3 years, then concluded the tweet by pleading to end the boycott...cheap and stupid employment Name: Bin Jassim Job: Jamal Rayan
106	yes	yes	yes	no	yes	yes	yes	Urgent 🔴. . Italy begins using a treatment for the Corona virus .. and news of its effectiveness. (Arabia) . . #Italy
107	yes	no	yes	no	no	no	no	Urgent: Now... the implementation of the decision to stop domestic flights, fare, trains and buses in #Saudi Arabia has begun. #corona#coronavirus
108	yes	yes		no	yes	no	no	The first to warn of a serious illness, and the authorities arrested him on charges of spreading rumors, then died of the virus.. #China apologizes to the family of the discoverer of #Corona and gives them compensation and prosecutes those who arrested him #Arabic #to_are_more URL
109	yes	no	yes	no	no	no	no	As a sign of good news, Italy begins to use a treatment for the Corona virus, and news that it has proven effective. (Arabia)
110	yes	no		yes	yes	no	yes	The professor of pulmonary medicine in #Turkey declares that the numbers announced about #Corona are incorrect and the number expected to reach 145,000, all this news instead of being discussed by Erdogan&#39;s media, he flees from it by intensifying the attack on #Saudi Arabia!! News worth reading, listening and contemplating to know how failed states are managed!!
111	yes	no	yes	no	no	no	no	The date of the news is clear, the first day of the year 2020... The Chinese police in Wuhan have arrested 8 people on charges of spreading rumors of an epidemic spreading. China&#39;s crime against the world is unforgivable. #Coronavirus #COVIDIOTS
112	yes	no	yes	no	no	no	no	A bond and a treasure 🇶🇦 14953 volunteers so far from #Qatar and residents set the most wonderful examples of standing with the state to combat the #coronavirus ✌️
113	yes	no	yes	no	no	no	no	The speech of Mr. President Aidarous Al-Zubaidi, directed to the southern people, regarding the Corona virus. Work is underway to implement all of what was stated in this letter with the foregoing measures under his previous directives since the beginning of the crisis and with personal follow-up from the President, may God protect him and protect him.
114	no					no	no	Why do racism, rumors and joke spread in the Corona crisis? Muhammad Al-Hajji USERID is a PhD researcher in Behavioral and Social Sciences for Public Health. It explains to us scientifically what Arab and Western societies and governments have done, in light of the Corona crisis. Now, on channel #eight: url url
115	yes		no	no	no	no	no	This foreigner through the Tik Tok program is filming clips in the center of Jeddah Governorate, Bani Malik district, to spread rumors about Corona, trying to spread terror and panic in the community. These clips and these rumors are not spontaneous, but rather intended for a purpose and may be used for other purposes
116	yes	no	yes	no	no	no	no	#Urgent #Italy begins using a treatment for the Corona virus, and news of its effectiveness has been proven. (Arabia)
117	no					no	no	The new Corona virus, COVID2019, is the duty of every citizen and resident. Follow the directives issued by the competent authorities. Sit at home, wash your hands, refrain from spreading rumors, follow prevention instructions, and may God protect everyone from all evil.
118	no					no	no	Let&#39;s agree together, we will not leave the house until the disease is gone, the case of this Spanish old woman is breaking the private, as if their government chose them to die as a fate.
119	yes	yes	yes	yes	yes	yes	yes	A tweet in which #Doha tries to justify its betrayal of Lebanon by transmitting the disease #Corona. Lebanon exports sheep!! Certainly, Doha does not seek Lebanon&#39;s public opinion, as it has not put weight on it, because whoever transmits death to them will not care about what is below it, but it is trying to justify some of those in #Qatar that it is betting on their lack of awareness. #Qatar_transfer_Corona_to_Lebanon URL
120	yes	yes	yes	yes	yes	yes	yes	The old industrial zone in #Qatar leads the country to a real disaster due to the workers&#39; evasion and refusal of the isolation measures. disaster
121	yes	yes	yes	yes	yes	yes	yes	#video | Popular anger in #Qatar for the government&#39;s slowdown against “Corona” Minister of Health Dr. Hanan Al-Kuwari informs the Qatari leadership that the epidemic situation is out of control in #Qatar. #Qatar_is_corona #Qatar URL
122	yes	no	yes	no	yes	no	no	Corona’s deaths in Iran reached 1470, Italy exceeded China with 3949 deaths and injuries in the State of Qatar 502 cases, and the Saudis were quarantining their citizens in the resorts of the Maldives and the Red Square hotels in Moscow, and the Kuwaitis used Ali bin Abi Talib to expel the virus, and the Iraqis received Iranian patients #Abdulkarim_Al-Muhanna URL
123	yes	no	yes	no	no	no	no	5 thousand volunteers for the Ministry of Health after it opened the door for volunteering so far.. These are its benefits Qatar 🇶🇦 By joining hands, we will defeat the #coronavirus USERID
124	yes	yes	yes	yes	yes	yes	yes	The Qatari cargo plane departing from Tehran to Beirut Qatar Airways tried to deny in an attempt to deceive its followers. The fact is that the plane is a cargo plane loaded with some passengers infected with the Corona epidemic to cover up the largest load, which is the weapon destined for the Lebanese Satan’s party, knowing that Beirut airport is closed. URL
125	yes	yes	yes	yes	yes	yes	yes	Despite the warning of the World Health Organization and the closure of airports and borders with #Iran, a plane for the #Qatar regime (QTR8320) left Tehran with a number of Revolutionary Guard leaders on board..hours ago and landed at Beirut International Airport and the leaders of Hezbollah Lebanon were received..they transported the freight! And their ambulance transporting people infected with #Corona? #Amjad_Taha URL
126	yes	no	yes	no	no	no	no	Urgent, according to the Qatar News Agency: The Emir of the State of Qatar, His Highness Sheikh Tamim bin Hamad Al Thani, directed to support the besieged Gaza with 150 million dollars over six months to confront the outbreak of #Corona and support its people in light of the difficult circumstances it is experiencing.
127	yes	no	yes	no	yes	no	no	My son Nayef cut short his treatment trip in Britain and returned to Doha to quarantine in one of the hotels, then some symptoms occurred that required the health officials to take him to the hospital to ensure his safety from the Corona epidemic and waiting for the results. 🤲🏻 URL
128	no					yes	yes	If we tell you that they are in #Qatar without religion, slander, or conscience, we would not be exaggerating.. the whole world is on alert due to the epidemic of #Corona and the afflicted in their minds, from the beginning of #Tamim_Ben_Hamad to his last boots on #Al Jazeera_channel running fake reports about #Saudi.. You do not fear God in us. Fear God in your people, who are dying because of you.
129	yes	no	yes	no	no	no	no	In implementation of the precautionary measures in force in the country to prevent the spread of the Corona virus (Covid-19), the competent authorities arrested 10 people who violated the requirements of domestic sanitary isolation, according to a pledge through which they committed themselves to implement those specific requirements, as the Ministry of Public Health reported that they are being referred to the competent prosecution. #qena
130	yes	no	yes	no	no	no	no	The streets of #Qatar..cleaning and sterilization..Non-stop efforts day and night to combat #Corona.. Be supportive with them to stand together to prevent the spread of this virus.. #for_Qatar_we are all_at_home #your safety is my safety #stay_home URL
131	yes	no	yes	no	no	no	no	Update.. March 20, 2020 Time: 11 pm Mecca time The number of recovery cases from the new #Corona in the Gulf countries: 🇧🇭 Bahrain: 112 out of 292 injuries 🇦🇪 UAE: 31 out of 140 injuries 🇴🇲 Oman: 13 out of 48 injuries 🇰🇼 Kuwait : 22 out of 159 injuries 🇸🇦 Saudi Arabia: 8 out of 344 injuries 🇶🇦 Qatar: 10 out of 470 injuries
132	yes	yes	yes	yes	yes	yes	yes	The issue is not political..what is happening in Qatar is very dangerous and dangerous..the spread of the #Coronavirus in Doha in a very frightening and terrifying way..the regime of Emir Tamim asked for help from the World Health Organization and countries and to stop transportation with Iran to our tribes and residents in Qatar . #amjad_taha
133	yes	no	yes	no	no	no	no	Update.. March 21, 2020 Time: 11 pm Mecca time The number of recovery cases from the new #Corona in the Gulf countries: 🇧🇭 Bahrain: 125 out of 310 injuries 🇦🇪 UAE: 38 out of 153 injuries 🇴🇲 Oman: 13 out of 52 injuries 🇰🇼 Kuwait : 27 out of 176 injuries 🇸🇦 Saudi Arabia: 16 out of 392 injuries 🇶🇦 Qatar: 27 out of 481 injuries
134	yes	no	yes	no	no	no	no	Video 🎥| Part of #Ashghal’s efforts to clean and sterilize the streets in the context of confronting the spread of the #Coronavirus #Mersal_Qatar URL
135	yes	yes	yes	yes	yes	yes	yes	One of the Qatari cargo planes coming from Iran carrying Corona virus patients with medical donations covered, stacked on top of each other, lands at Beirut airport by force under the protection of Hezbollah.. URL
